"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"K.Fuller","CB","Washington",4,54,0,0,4,0,0.24,3.18,4.49,"Defensive Pass Interference (3), Face Mask (15 Yards) (1)"
"K.Moore","CB","Indianapolis",4,64,0,0,4,0,0.24,3.76,4.17,"Defensive Pass Interference (2), Horse Collar Tackle (2)"
"D.Autry","DE","Indianapolis",4,30,0,0,4,3,0.24,1.76,4.17,"Roughing the Passer (1), Defensive Offside (1), Encroachment (1), Neutral Zone Infraction (1)"
"M.Feiler","T","Pittsburgh",4,30,0,0,4,1,0.24,1.76,4.71,"Offensive Holding (2), False Start (1), Ineligible Downfield Pass (1)"
"D.Payne","DT","Washington",4,30,0,0,4,2,0.24,1.76,4.49,"Face Mask (15 Yards) (1), Illegal Use of Hands (1), Encroachment (1), Neutral Zone Infraction (1)"
"A.Hooker","DB","Tennessee",4,50,0,0,4,0,0.24,2.94,4.55,"Offensive Holding (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1)"
"T.Carrie","CB","Indianapolis",4,50,0,0,4,0,0.24,2.94,4.17,"Defensive Pass Interference (2), Illegal Contact (1), Defensive Holding (1)"
"G.Swaim","TE","Tennessee",4,32,0,0,4,2,0.24,1.88,4.55,"False Start (2), Offensive Holding (1), Illegal Double-Team Block (1)"
"L.Thomas","TE","Washington",4,24,0,0,4,3,0.24,1.41,4.49,"False Start (3), Offensive Holding (1)"
"K.Hudson","LB","Washington",4,30,0,0,4,2,0.24,1.76,4.49,"Offensive Holding (2), False Start (1), Offensive Offside (1)"
"J.Johnson","DB","Chicago",4,76,0,0,4,0,0.24,4.47,4.12,"Defensive Pass Interference (3), Illegal Contact (1)"
"A.Peat","OL","New Orleans",4,30,1,0,5,2,0.22,1.67,4.67,"Offensive Holding (3), False Start (2)"
"R.Woods","WR","LA Rams",4,35,1,0,5,1,0.22,1.94,6.58,"False Start (1), Offensive Pass Interference (1), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Blindside Block (1)"
"D.Bakhtiari","T","Green Bay",4,30,0,0,4,2,0.22,1.67,4.3,"False Start (2), Offensive Holding (2)"
"J.Tretter","C","Cleveland",4,26,0,0,4,1,0.22,1.44,3.77,"Offensive Holding (3), False Start (1)"
"B.Bozeman","OL","Baltimore",4,20,0,0,4,3,0.22,1.11,3.42,"False Start (3), Offensive Holding (1)"
"P.Smith","LB","Green Bay",4,20,0,0,4,4,0.22,1.11,4.3,"Defensive Offside (3), Neutral Zone Infraction (1)"
"J.Hill","RB","Baltimore",4,50,0,0,4,1,0.22,2.78,3.42,"False Start (1), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Roughing the Kicker (1)"
"D.Dawkins","T","Buffalo",4,25,0,2,6,3,0.21,1.32,5.45,"False Start (3), Offensive Holding (2), Unnecessary Roughness (1)"
"Q.Jefferson","DT","Buffalo",4,20,0,2,6,2,0.21,1.05,5.45,"Roughing the Passer (3), Unnecessary Roughness (1), Defensive Offside (1), Neutral Zone Infraction (1)"
"D.Sorensen","DB","Kansas City",4,34,1,0,5,0,0.21,1.79,3.97,"Defensive Pass Interference (3), Face Mask (15 Yards) (1), Defensive Holding (1)"
"J.Allen","QB","Buffalo",4,61,0,1,5,0,0.21,3.21,4.55,"Unsportsmanlike Conduct (3), Face Mask (15 Yards) (1), Intentional Grounding (1)"
"L.Sneed","CB","Kansas City",4,37,0,1,5,0,0.21,1.95,3.97,"Defensive Holding (2), Offensive Holding (2), Defensive Pass Interference (1)"
"T.Jones","RB","Buffalo",4,37,0,0,4,0,0.21,1.95,3.64,"Offensive Holding (3), Illegal Block Above the Waist (1)"
"A.Wylie","G","Kansas City",4,40,0,0,4,1,0.21,2.11,3.17,"Offensive Holding (2), False Start (1), Unnecessary Roughness (1)"
"B.Pringle","WR","Kansas City",4,30,0,0,4,2,0.21,1.58,3.17,"False Start (2), Face Mask (15 Yards) (1), Offensive Holding (1)"
"M.Hardman","WR","Kansas City",4,17,0,0,4,4,0.21,0.89,3.17,"False Start (3), Defensive Offside (1)"
"I.Boettger","G","Buffalo",4,35,0,0,4,1,0.21,1.84,3.64,"Offensive Holding (3), False Start (1)"
"S.Diggs","WR","Buffalo",4,30,0,0,4,2,0.21,1.58,3.64,"False Start (2), Offensive Pass Interference (1), Offensive Holding (1)"
"D.White","LB","Tampa Bay",4,32,1,0,5,3,0.2,1.6,4.95,"Roughing the Passer (1), Illegal Block Above the Waist (1), Defensive Offside (1), Illegal Formation (1), Neutral Zone Infraction (1)"
"T.Brady","QB","Tampa Bay",4,34,1,0,5,2,0.2,1.7,4.95,"False Start (2), Intentional Grounding (2), Illegal Forward Pass (1)"
"M.Evans","WR","Tampa Bay",4,45,0,0,4,0,0.2,2.25,3.96,"Offensive Pass Interference (2), Unnecessary Roughness (1), Offensive Holding (1)"
"R.Jensen","C","Tampa Bay",4,45,0,0,4,0,0.2,2.25,3.96,"Unnecessary Roughness (1), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Use of Hands (1)"
"Totals","","",1215,10749,93,32,1340,440,NA,NA,NA,""
