"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"M.Becton","T","N.Y. Jets",6,30,0,0,6,6,0.38,1.88,5.94,"False Start (5), Illegal Formation (1)"
"T.White","CB","Buffalo",7,72,0,0,7,1,0.37,3.79,6.36,"Defensive Pass Interference (3), Unnecessary Roughness (1), Illegal Contact (1), Defensive Holding (1), Neutral Zone Infraction (1)"
"Q.Nelson","OL","Indianapolis",6,55,1,1,8,1,0.35,3.24,8.33,"Offensive Holding (6), False Start (1), Ineligible Downfield Pass (1)"
"S.Barrett","LB","Tampa Bay",7,45,0,1,8,7,0.35,2.25,7.92,"Neutral Zone Infraction (4), Defensive Offside (3), Roughing the Passer (1)"
"J.Pierre-Paul","LB","Tampa Bay",7,60,0,0,7,4,0.35,3,6.93,"Defensive Offside (4), Unnecessary Roughness (1), Roughing the Passer (1), Tripping (1)"
"N.Davis","G","Tennessee",6,45,0,0,6,3,0.35,2.65,6.82,"False Start (3), Offensive Holding (3)"
"R.Ya-Sin","CB","Indianapolis",6,102,0,0,6,0,0.35,6,6.25,"Defensive Pass Interference (3), Unnecessary Roughness (1), Illegal Contact (1), Illegal Use of Hands (1)"
"D.Fluker","G","Baltimore",6,50,3,0,9,2,0.33,2.78,7.69,"Offensive Holding (6), False Start (1), Illegal Formation (1), Ineligible Downfield Pass (1)"
"M.Garrett","DE","Cleveland",6,29,2,0,8,8,0.33,1.61,7.55,"Defensive Offside (4), Neutral Zone Infraction (3), Encroachment (1)"
"M.Peters","CB","Baltimore",6,81,1,1,8,0,0.33,4.5,6.84,"Defensive Pass Interference (3), Unnecessary Roughness (2), Defensive Holding (2), Illegal Use of Hands (1)"
"M.Jenkins","SS","New Orleans",6,49,1,0,7,0,0.33,2.72,6.54,"Defensive Pass Interference (2), Defensive Holding (2), Unnecessary Roughness (1), Illegal Contact (1), Horse Collar Tackle (1)"
"J.Ramsey","CB","LA Rams",6,112,1,0,7,1,0.33,6.22,9.21,"Defensive Pass Interference (5), Defensive Offside (1), Lowering the Head to Initiate Contact (1)"
"C.Jordan","DE","New Orleans",6,47,0,0,6,2,0.33,2.61,5.61,"Neutral Zone Infraction (2), Roughing the Passer (1), Horse Collar Tackle (1), Defensive Holding (1), Disqualification (1)"
"K.King","CB","Green Bay",6,48,0,0,6,0,0.33,2.67,6.45,"Defensive Holding (4), Defensive Pass Interference (1), Lowering the Head to Initiate Contact (1)"
"L.Ogunjobi","DT","Cleveland",6,32,0,0,6,5,0.33,1.78,5.66,"Encroachment (3), Defensive Offside (2), Face Mask (15 Yards) (1)"
"E.Jenkins","G","Green Bay",6,50,0,0,6,2,0.33,2.78,6.45,"Offensive Holding (4), False Start (1), Illegal Formation (1)"
"W.Teller","G","Cleveland",6,55,0,0,6,2,0.33,3.06,5.66,"Offensive Holding (3), False Start (2), Illegal Blindside Block (1)"
"J.Jenkins","CB","New Orleans",6,83,0,0,6,0,0.33,4.61,5.61,"Defensive Pass Interference (6)"
"E.Oliver","DT","Buffalo",6,40,2,0,8,5,0.32,2.11,7.27,"Neutral Zone Infraction (3), Roughing the Passer (2), Defensive Offside (2), Illegal Use of Hands (1)"
"T.Kelce","TE","Kansas City",6,55,0,0,6,2,0.32,2.89,4.76,"False Start (2), Offensive Pass Interference (2), Offensive Holding (1), Unsportsmanlike Conduct (1)"
"T.Hill","WR","Kansas City",6,34,0,0,6,4,0.32,1.79,4.76,"False Start (3), Illegal Block Above the Waist (1), Offside on Free Kick (1), Illegal Motion (1)"
"T.Mathieu","DB","Kansas City",6,55,0,0,6,0,0.32,2.89,4.76,"Defensive Pass Interference (3), Unsportsmanlike Conduct (2), Defensive Holding (1)"
"D.Williams","OL","Buffalo",6,30,0,0,6,5,0.32,1.58,5.45,"False Start (5), Offensive Holding (1)"
"T.Herndon","CB","Jacksonville",5,53,2,0,7,0,0.31,3.31,6.54,"Defensive Pass Interference (3), Defensive Holding (3), Illegal Contact (1)"
"S.Gilmore","CB","New England",5,76,0,1,6,0,0.31,4.75,9.68,"Defensive Pass Interference (4), Defensive Holding (2)"
"C.Lawson","DE","Cincinnati",5,32,1,0,6,4,0.31,2,7.14,"Defensive Offside (3), Unnecessary Roughness (1), Illegal Use of Hands (1), Neutral Zone Infraction (1)"
"B.Chubb","LB","Denver",5,65,0,1,6,2,0.31,4.06,7.32,"Roughing the Passer (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Defensive Offside (1), Neutral Zone Infraction (1)"
"M.Cole","C","Arizona",5,25,0,1,6,4,0.31,1.56,5.31,"False Start (4), Ineligible Downfield Pass (2)"
"T.Hockenson","TE","Detroit",5,45,1,0,6,1,0.31,2.81,6.25,"Offensive Holding (4), False Start (1), Offensive Pass Interference (1)"
"M.Crosby","DE","Las Vegas",5,45,1,0,6,4,0.31,2.81,6.12,"Defensive Offside (2), Neutral Zone Infraction (2), Face Mask (15 Yards) (1), Roughing the Passer (1)"
"N.Lawson","CB","Las Vegas",5,65,1,0,6,0,0.31,4.06,6.12,"Defensive Pass Interference (2), Defensive Holding (2), Face Mask (15 Yards) (1), Offensive Holding (1)"
"D.Hopkins","WR","Arizona",5,45,0,1,6,2,0.31,2.81,5.31,"False Start (2), Offensive Pass Interference (2), Illegal Block Above the Waist (1), Unsportsmanlike Conduct (1)"
"J.Miller","G","Carolina",5,48,0,1,6,1,0.31,3,6.32,"Offensive Holding (4), False Start (1), Unnecessary Roughness (1)"
"T.Higgins","WR","Cincinnati",5,25,0,1,6,3,0.31,1.56,7.14,"False Start (3), Illegal Block Above the Waist (1), Unsportsmanlike Conduct (1), Illegal Touch Pass (1)"
"D.Lawrence","DE","Dallas",5,36,0,0,5,3,0.31,2.25,5.21,"Neutral Zone Infraction (2), Roughing the Passer (1), Defensive Offside (1), Defensive Holding (1)"
"R.Gregory","DE","Dallas",5,55,0,0,5,2,0.31,3.44,5.21,"Unnecessary Roughness (2), Defensive Offside (2), Roughing the Passer (1)"
"C.Robinson","OL","Jacksonville",5,35,0,0,5,3,0.31,2.19,4.67,"False Start (3), Unnecessary Roughness (1), Disqualification (1)"
"S.Tevi","T","LA Chargers",5,40,0,0,5,2,0.31,2.5,5.88,"False Start (2), Offensive Holding (2), Illegal Block Above the Waist (1)"
"A.Redmond","G","Cincinnati",5,40,0,0,5,2,0.31,2.5,5.95,"Offensive Holding (3), False Start (2)"
"R.Okwara","LB","Detroit",5,36,0,0,5,3,0.31,2.25,5.21,"Face Mask (15 Yards) (1), Roughing the Passer (1), Defensive Offside (1), Encroachment (1), Neutral Zone Infraction (1)"
"A.Key","DE","Las Vegas",5,48,0,0,5,2,0.31,3,5.1,"Defensive Offside (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Roughing the Passer (1)"
"C.Williams","G","Dallas",5,40,0,0,5,2,0.31,2.5,5.21,"Offensive Holding (3), False Start (2)"
