"Player","team","pos","base"
"DeSean Jackson","PHI","WR","$6,200,000"
"David Bakhtiari","GB","LT","$6,052,941"
"Benardrick McKinney","HOU","ILB","$6,000,000"
"Mike Pouncey","LAC","C","$6,000,000"
"Jordan Hicks","ARI","ILB","$6,000,000"
"D.J. Hayden","JAC","CB","$6,000,000"
"Jacoby Brissett","IND","QB","$6,000,000"
"Robert Alford","ARI","CB","$5,950,000"
"Riley Reiff","MIN","LT","$5,900,000"
"Deion Jones","ATL","ILB","$5,850,000"
"Maliek Collins","LV","DT","$5,750,000"
"Kenny Moore","IND","CB","$5,750,000"
"Keenan Allen","LAC","WR","$5,500,000"
"Bobby McCain","MIA","FS","$5,500,000"
"Matt Paradis","CAR","C","$5,500,000"
"Ryan Kelly","IND","C","$5,350,000"
"Mitchell Schwartz","KC","RT","$5,320,000"
"Denico Autry","IND","DT","$5,300,000"
"Mario Addison","BUF","DE","$5,250,000"
"Ricardo Allen","ATL","FS","$5,250,000"
"Jadeveon Clowney","TEN","DE","$5,250,000"
"Ben Jones","TEN","C","$5,250,000"
"Yannick Ngakoue","BAL","DE","$5,176,470"
"Jaylon Smith","DAL","ILB","$5,171,000"
"Ali Marpet","TB","G","$5,125,000"
"Kyle Juszczyk","SF","FB","$5,050,000"
"Grady Jarrett","ATL","DT","$5,001,000"
"Jack Conklin","CLE","RT","$5,000,000"
"Connor McGovern","NYJ","C","$5,000,000"
"Tyrod Taylor","LAC","QB","$5,000,000"
"Shaq Mason","NE","G","$5,000,000"
"Alejandro Villanueva","PIT","LT","$5,000,000"
"K.J. Wright","SEA","OLB","$5,000,000"
"Quandre Diggs","SEA","FS","$5,000,000"
"Trae Waynes","CIN","CB","$5,000,000"
"Richie Incognito","LV","G","$5,000,000"
"Robert Woods","LAR","WR","$5,000,000"
"Leonard Floyd","LAR","ILB","$5,000,000"
"Andrew Whitworth","LAR","LT","$5,000,000"
"Calais Campbell","BAL","DE","$5,000,000"
"Mark Glowinski","IND","G","$5,000,000"
"Adam Thielen","MIN","WR","$4,800,000"
"William Gholston","TB","DE","$4,750,000"
"A.J. Cann","JAC","G","$4,675,000"
"Buster Skrine","CHI","CB","$4,650,000"
"George Fant","NYJ","LT","$4,600,000"
"LaMarcus Joyner","LV","FS","$4,600,000"
"Tevin Coleman","SF","RB","$4,550,000"
"Nick Easton","NO","C","$4,500,000"
"Kyle Fuller","CHI","CB","$4,500,000"
"Nick Boyle","BAL","TE","$4,500,000"
"Desmond Trufant","DET","CB","$4,500,000"
"Cole Beasley","BUF","WR","$4,400,000"
"Preston Smith","GB","OLB","$4,350,000"
"Jaquiski Tartt","SF","SS","$4,300,000"
"Cameron Brate","TB","TE","$4,250,000"
"Kenny Vaccaro","TEN","SS","$4,250,000"
"Brandon Williams","BAL","DT","$4,250,000"
"Robbie Gould","SF","K","$4,222,059"
"Matthew Ioannidis","WAS","DT","$4,200,000"
"Tyler Boyd","CIN","WR","$4,200,000"
"Cordarrelle Patterson","CHI","WR","$4,150,000"
"Malcom Brown","NO","DT","$4,100,000"
"Jarran Reed","SEA","DT","$4,100,000"
"Fletcher Cox","PHI","DT","$4,035,000"
"Kareem Hunt","CLE","RB","$4,009,000"
"Nick Foles","CHI","QB","$4,000,000"
"Ka'imi Fairbairn","HOU","K","$4,000,000"
"J.C. Tretter","CLE","C","$4,000,000"
"Mike Evans","TB","WR","$4,000,000"
"Micah Hyde","BUF","FS","$4,000,000"
"Vince Williams","PIT","ILB","$4,000,000"
"Robbie Anderson","CAR","WR","$4,000,000"
"Shaq Thompson","CAR","ILB","$4,000,000"
"Blake Martinez","NYG","ILB","$4,000,000"
"Mark Ingram","BAL","RB","$4,000,000"
"Jamie Collins","DET","OLB","$4,000,000"
